0	J	6
0	N	36
1	J	160
1	N	34
10	J	74
100	J	32
1000	J	18
100000	N	2
11	J	10
11	N	2
12	J	38
12	N	6
13	J	16
13th	J	2
14	J	18
14th	J	2
15	J	40
15_minutes	N	12
16	J	30
16	N	2
17	J	12
18	J	30
19	J	12
19	N	2
19th	J	8
2	J	132
2	N	16
20	J	36
20th	J	4
21	J	14
22	J	24
22	N	2
23	J	12
24	J	44
25	J	32
25th	J	2
26	J	18
27	J	14
29	J	8
29	N	2
3	J	112
3	N	12
3-hitter	N	2
30	J	32
30	N	2
30_minutes	N	30
4	J	62
4	N	14
40	J	28
5	J	70
5	N	4
50	J	46
500	J	10
6	J	56
60	J	20
7	J	12
7	N	2
70	J	4
8	J	30
8	N	4
80	J	10
9	J	14
90	J	2
Loading SemCor		0
a	N	26
a.m.	N	2
a_bit	R	34
a_couple_of	J	26
a_few	J	136
a_fortiori	R	2
a_great_deal	R	2
a_hundred	J	16
a_hundred_thousand	J	2
a_hundred_times	R	2
a_little	R	98
a_lot	R	12
a_million	J	6
a_people	N	4
a_thousand	J	12
a_trifle	R	4
ab	N	2
abandon	V	14
abandoned	J	2
abandonment	N	6
abasement	N	2
abbey	N	2
abbot	N	4
abbreviated	J	2
abdomen	N	4
abdominal	J	6
abed	R	2
aberration	N	2
abet	V	2
abide_by	V	4
abiding	J	2
ability	N	26
abject	J	2
abjection	N	2
ablated	J	2
ablation	N	4
able	J	70
abnormal	J	2
abnormality	N	2
abnormally	R	2
abo	N	4
abo_antibodies	N	2
aboard	R	4
abode	N	2
abolish	V	2
abolition	N	2
abolitionist	N	4
abortion	N	2
abounding	J	2
about	R	94
above	J	22
above	R	34
above-mentioned	J	2
above_all	R	6
abraham_lincoln	N	4
abreaction	N	2
abridgment	N	2
abroad	R	2
abrupt	J	4
abruptly	R	10
abscissa	N	2
absence	N	44
absent	J	22
absently	R	6
absentminded	J	2
absentmindedly	R	2
absolute	J	14
absolute	N	2
absolutely	R	22
absorb	V	20
absorbed	J	4
absorption	N	14
absorption_spectrum	N	2
absorptive	J	2
abstract	J	4
abstract	V	2
abstract_art	N	2
abstract_expressionism	N	2
abstracted	J	4
abstraction	N	10
absurd	J	10
absurdity	N	6
abundance	N	4
abundant	J	2
abuse	N	2
abuse	V	2
abused	J	2
abyss	N	4
academic	J	14
academic	N	4
accelerate	V	6
accelerated	J	4
acceleration	N	6
accelerator	N	2
accent	N	6
accent	V	2
accentuate	V	2
accept	V	60
acceptable	J	2
acceptance	N	6
accepted	J	4
access	N	6
accessory	N	2
accident	N	14
accidental	J	2
accidentally	R	2
acclaim	V	2
accommodate	V	4
accompaniment	N	4
accompany	V	12
accomplish	V	36
accomplished	J	4
accomplishment	N	8
accord	V	2
accordance	N	6
according	J	2
accordingly	R	12
account	N	22
account_for	V	22
accountant	N	2
accounting	N	2
accredit	V	2
accreditation	N	14
accretion	N	4
acculturate	V	2
accumulate	V	4
accumulation	N	6
accuracy	N	6
accurate	J	8
accurately	R	8
accusation	N	4
accuse	V	8
accusing	J	2
accusingly	R	2
accustom	V	2
accustomed	J	4
ace	N	24
acetone	N	8
ache	N	2
ache	V	4
achieve	V	48
achievement	N	22
acid	N	2
acidity	N	2
acknowledge	V	12
acoustically	R	2
acquaintance	N	2
acquainted_with	J	2
acquire	V	22
acquisition	N	2
acre	N	20
acreage	N	4
acres	N	8
acrobatic	J	2
acrobatics	N	2
across_the_nation	R	2
act	N	44
act	V	48
act_as	V	22
act_on	V	4
act_out	V	2
acting	J	2
acting	N	8
actinometer	N	2
action	N	122
activated	J	6
activation_energy	N	12
active	J	32
active	N	32
activism	N	2
activity	N	114
actor	N	22
actress	N	6
actual	J	34
actually	R	42
actuate	V	4
acutely	R	4
ad	N	8
ad_infinitum	R	2
ad_lib	R	2
adam	N	28
adamant	J	4
adapt	V	4
adaptable	J	2
adaptation	N	2
adapted	J	2
add	V	82
added	J	14
addition	N	16
additional	J	40
additionally	R	2
addlebrained	J	2
address	N	8
address	V	18
addressed	J	2
adenoma	N	2
adequacy	N	2
adequate	J	20
adequate_to	J	2
adequately	R	6
adhere	V	8
adherence	N	4
adherent	N	2
adhesive	N	6
adjacent	J	12
adjective	N	6
adjoin	V	2
adjoining	J	4
adjourn	V	2
adjournment	N	4
adjust	V	18
adjustment	N	6
administer	V	4
administration	N	12
administrative	J	8
administrator	N	4
admirable	J	6
admirably	R	2
admiration	N	6
admire	V	18
admission	N	14
admit	V	26
admittedly	R	2
admix	V	2
admonish	V	2
admonition	N	2
adobe_house	N	4
adolescence	N	6
adolescent	J	2
adonis	N	2
adopt	V	14
adopted	J	4
adoption	N	2
adrenal	J	2
adsorb	V	2
adsorbed	J	6
adult	N	8
adulterer	N	4
adulthood	N	2
advance	N	8
advance	V	10
advanced	J	20
advantage	N	20
adventure	N	12
adventure	V	2
adventurous	J	2
adverb	N	2
adverse	J	2
advertise	V	6
advertised	J	2
advertisement	N	2
advertising	N	8
advice	N	16
advisability	N	2
advise	V	20
advisedly	R	2
advisor	N	2
advocacy	N	2
advocate	N	2
advocate	V	2
aegean	J	10
aegean	N	14
aegean_island	N	2
aegis	N	2
aeon	N	2
aerated	J	18
aeration	N	10
aerator	N	22
aerial	J	10
aerial	N	2
aerobacter_aerogenes	N	2
aerobic	J	2
aerosol	N	22
aerosolize	V	4
aerosolized	J	2
aeschylus	N	2
aesthetic	J	8
affair	N	16
affairs	N	2
affect	N	2
affect	V	40
affected	J	2
affectingly	R	2
affection	N	10
affectionate	J	2
afferent	J	2
affianced	J	2
affidavit	N	2
affiliation	N	4
affinity	N	2
affirm	V	6
affirmation	N	2
affixed	J	12
afflicted	J	2
affluence	N	2
afford	V	18
affront	V	2
afghan	N	2
aflame	J	2
afloat	J	2
afoot	R	2
afraid	J	30
africa	N	4
african	J	8
after	R	6
after-school	J	2
after_all	R	28
aftereffect	N	2
afternoon	N	66
afterward	R	12
afterwards	R	10
again	R	216
again_and_again	R	12
agate	N	2
age	N	158
age	V	4
age_group	N	2
aged	J	2
agency	N	8
agenda	N	4
agent	N	56
agglomerate	V	4
agglomeration	N	4
agglutinating_activity	N	2
agglutination	N	8
agglutinin	N	16
aggravate	V	6
aggression	N	2
aggressive	J	6
aggressiveness	N	2
aggressor	N	2
aghast	J	2
agile	J	2
agilely	R	2
ago	R	86
agree	V	54
agreed_upon	J	4
agreement	N	12
agricultural	J	8
agriculture	N	8
agrobacterium_tumefaciens	N	2
ahead	J	2
ahead	R	28
aid	N	22
aid	V	18
aide	N	6
ailing	J	2
ailment	N	8
aim	N	16
aim	V	4
aimlessly	R	2
air	N	80
air-conditioning	N	2
airborne	J	2
airflow	N	2
airplane	N	6
airport	N	4
airs	N	2
airway	N	8
airy	J	6
aisle	N	4
akin	J	6
alabama	N	4
alabaster	N	4
alarm	N	6
alarm	V	2
alarmingly	R	2
albany	N	2
album	N	6
albumin	N	18
alchemy	N	2
alcohol	N	4
alert	J	12
alert	V	2
alerting	N	2
alertness	N	2
alfresco	J	2
algae	N	12
algebraically	R	8
alien	J	6
alienate	V	4
align	V	2
alignment	N	2
alike	J	2
alike	R	4
aliquot	N	2
alive	J	22
alkali	N	2
alkali_bee	N	6
alkaline	J	4
alkylbenzenesulfonate	N	2
all	J	302
all	R	18
all-out	J	2
all-round	J	2
all-time	J	2
all-victorious	J	2
all_along	R	2
all_but	R	12
all_in_all	R	4
